reboot-id,:joydev-physical-path,:evdev-id-path,:name,:usb-address,:pci-address,:evdev-symlink-target,:evdev-physical-path,:joydev-id-path,:joydev-symlink-target
6,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.1:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Throttle_MT-50CM3_FF-event-joystick,VPC_Throttle_MT-50CM3,0:1.4.1:1.0,0000:2c:00.1,/dev/input/event10,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.1:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Throttle_MT-50CM3_FF-joystick,/dev/input/js1
7,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.4:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_L-VPC_Stick_MT-50CM2_FF-event-joystick,L-VPC_Stick_MT-50CM2,0:1.4.4:1.0,0000:2c:00.1,/dev/input/event28,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.4:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_L-VPC_Stick_MT-50CM2_FF-joystick,/dev/input/js4
7,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.2:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_SharKa-50_Panel_FF-event-joystick,VPC_SharKa-50_Panel,0:1.4.2:1.0,0000:2c:00.1,/dev/input/event26,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.2:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_SharKa-50_Panel_FF-joystick,/dev/input/js2
7,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.3:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Stick_MT-50CM2_FF-event-joystick,VPC_Stick_MT-50CM2,0:1.4.3:1.0,0000:2c:00.1,/dev/input/event27,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.3:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Stick_MT-50CM2_FF-joystick,/dev/input/js3
7,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.1:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Throttle_MT-50CM3_FF-event-joystick,VPC_Throttle_MT-50CM3,0:1.4.1:1.0,0000:2c:00.1,/dev/input/event10,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.1:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Throttle_MT-50CM3_FF-joystick,/dev/input/js1
8,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.4:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_L-VPC_Stick_MT-50CM2_FF-event-joystick,L-VPC_Stick_MT-50CM2,0:1.4.4:1.0,0000:2c:00.1,/dev/input/event28,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.4:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_L-VPC_Stick_MT-50CM2_FF-joystick,/dev/input/js4
8,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.2:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_SharKa-50_Panel_FF-event-joystick,VPC_SharKa-50_Panel,0:1.4.2:1.0,0000:2c:00.1,/dev/input/event26,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.2:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_SharKa-50_Panel_FF-joystick,/dev/input/js2
8,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.3:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Stick_MT-50CM2_FF-event-joystick,VPC_Stick_MT-50CM2,0:1.4.3:1.0,0000:2c:00.1,/dev/input/event27,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.3:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Stick_MT-50CM2_FF-joystick,/dev/input/js3
8,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.1:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Throttle_MT-50CM3_FF-event-joystick,VPC_Throttle_MT-50CM3,0:1.4.1:1.0,0000:2c:00.1,/dev/input/event25,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.1:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Throttle_MT-50CM3_FF-joystick,/dev/input/js1
9,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.4:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_L-VPC_Stick_MT-50CM2_FF-event-joystick,L-VPC_Stick_MT-50CM2,0:1.4.4:1.0,0000:2c:00.1,/dev/input/event26,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.4:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_L-VPC_Stick_MT-50CM2_FF-joystick,/dev/input/js2
9,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.2:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_SharKa-50_Panel_FF-event-joystick,VPC_SharKa-50_Panel,0:1.4.2:1.0,0000:2c:00.1,/dev/input/event27,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.2:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_SharKa-50_Panel_FF-joystick,/dev/input/js3
9,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.3:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Stick_MT-50CM2_FF-event-joystick,VPC_Stick_MT-50CM2,0:1.4.3:1.0,0000:2c:00.1,/dev/input/event28,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.3:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Stick_MT-50CM2_FF-joystick,/dev/input/js4
9,/dev/input/by-path/pci-0000:2c:00.1-usbv2-0:1.4.1:1.0-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Throttle_MT-50CM3_FF-event-joystick,VPC_Throttle_MT-50CM3,0:1.4.1:1.0,0000:2c:00.1,/dev/input/event10,/dev/input/by-path/pci-0000:2c:00.1-usb-0:1.4.1:1.0-event-joystick,/dev/input/by-id/usb-VIRPIL_Controls_20220720_VPC_Throttle_MT-50CM3_FF-joystick,/dev/input/js1
